epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,18597.9,0.65317,0.36376,0.87529,0.78563,0.75607,0.78452,0.52294,1.20169,0.73614,1.23049,0.0028225,0.0028225,0.0028225
147,18730.7,0.65396,0.36391,0.87527,0.78536,0.75494,0.78533,0.52413,1.20172,0.73598,1.23082,0.002773,0.002773,0.002773
148,18855.2,0.64901,0.36273,0.87406,0.7839,0.75672,0.78535,0.52367,1.20178,0.73724,1.23081,0.0027235,0.0027235,0.0027235
149,18980.6,0.64094,0.35602,0.87111,0.7845,0.75638,0.78617,0.52384,1.20196,0.73668,1.23119,0.002674,0.002674,0.002674
150,19104.7,0.64262,0.35785,0.87148,0.78395,0.75665,0.78541,0.52319,1.20233,0.73693,1.23121,0.0026245,0.0026245,0.0026245
151,19240,0.64028,0.35379,0.87145,0.78373,0.75716,0.78478,0.52312,1.20241,0.73673,1.23163,0.002575,0.002575,0.002575
152,19364.5,0.63575,0.35212,0.87126,0.77476,0.76646,0.78577,0.52404,1.20202,0.73602,1.23171,0.0025255,0.0025255,0.0025255
153,19489,0.63004,0.35111,0.87098,0.77435,0.76801,0.78625,0.52411,1.20205,0.73647,1.23194,0.002476,0.002476,0.002476
154,19613.9,0.62484,0.34801,0.86957,0.77482,0.76787,0.7871,0.52473,1.20197,0.73538,1.23203,0.0024265,0.0024265,0.0024265
155,19737.1,0.62272,0.34782,0.86687,0.77475,0.76819,0.78723,0.52527,1.20206,0.73515,1.23204,0.002377,0.002377,0.002377
156,19858.3,0.62075,0.34436,0.86716,0.77485,0.76812,0.78721,0.52538,1.20202,0.73575,1.23216,0.0023275,0.0023275,0.0023275
157,19979.7,0.61969,0.34515,0.86854,0.77522,0.76726,0.78692,0.52461,1.20199,0.73654,1.23249,0.002278,0.002278,0.002278
